S.N,Name,OPEID,Location,Geographic Location,Enrollment Size,Carnegie Classification,Religious Affilation,Year Closed,Note,Links/Details,closed date,Verified through carnegie,2000,2005,2010,2015,2018,Reference,
1,John Wesley University,00293500,"High Point,North Carolina",Northeast,"4-year, very small, highly residential",,Christian college,2018,university merged to Piedmont International University (https://en.wikipedia.org/wiki/John_Wesley_University),,5/11/2018,2018,,,,,Yes,https://en.wikipedia.org/wiki/John_Wesley_University,
2,Colorado Heights University,3289300,"Denver, Colorado",West,"Four-year, very small, highly residential",Special Focus Four-Year: Business & Management Schools,,2017,,,10/13/2017,2015,,,,Yes,No,,
3,Southern Catholic College,04128500,"Dawsonville, Georgia",South,8,21,Roman Catholic,2010,,,3/31/2010,2010,,,Yes,No,,,
4,Vennard College,00189400,"University Park, Iowa",Midwest,,,,2008,,,11/26/2008,2005,,Yes,No,,,,
5,O'More College of Design,02106401,"Franklin, TN",Southeast,"Four-year, very small, primarily nonresidential",,,2014,"In February 2018, it merged with Belmont University in Nashville, Tennessee to become the O'More School of Design at Belmont University",,12/8/2014,2018,,,,,Yes,https://en.wikipedia.org/wiki/O'More_College_of_Design,
6,Mid-Continent University,02576200,"Mayfield, Kentucky",South,9,22,,2014,,,6/30/2014,2010,,,Yes,No,,,
7,Baltimore Hebrew University,00206000,"Baltimore, Maryland",Northeast,,,,2009,,,5/15/2009,2005,,Yes,No,,,,
8,College of Visual Arts,00746200,"Saint Paul, Minnesota",Midwest,-2,30,,2013,,,6/30/2013,2010,,,Yes,No,,,
9,Pillsbury Baptist Bible College,02284500,"Owatonna, Minnesota",Midwest,,,,2008,,,12/19/2008,2005,,Yes,No,,,,
10,Grace University,00254700,"Omaha, Nebraska",Midwest,"Four-year, very small, primarily residential",,Christian ,2018,,,5/11/2018,2018,,,,,Yes,https://en.wikipedia.org/wiki/Grace_University,
11,Marylhurst university,00319900,"Marylhurst, Oregan",West,"Four-year, very small, primarily nonresidential",,Roman Catholic,2018,,,9/2/2018,2018,,,,,Yes,https://en.wikipedia.org/wiki/Marylhurst_University,
